id,code_alpha3,code_numeric
base.af,AFG,4
base.al,ALB,8
base.dz,DZA,12
base.as,ASM,16
base.ad,AND,20
base.ao,AGO,24
base.ai,AIA,660
base.aq,ATA,10
base.ag,ATG,28
base.ar,ARG,32
base.am,ARM,51
base.aw,ABW,533
base.au,AUS,36
base.at,AUT,40
base.az,AZE,31
base.bs,BHS,44
base.bh,BHR,48
base.bd,BGD,50
base.bb,BRB,52
base.by,BLR,112
base.be,BEL,56
base.bz,BLZ,84
base.bj,BEN,204
base.bm,BMU,60
base.bt,BTN,64
base.bo,BOL,68
base.bq,BES,535
base.ba,BIH,70
base.bw,BWA,72
base.bv,BVT,74
base.br,BRA,76
base.io,IOT,86
base.bn,BRN,96
base.bg,BGR,100
base.bf,BFA,854
base.bi,BDI,108
base.kh,KHM,116
base.cm,CMR,120
base.ca,CAN,124
base.cv,CPV,132
base.ky,CYM,136
base.cf,CAF,140
base.td,TCD,148
base.cl,CHL,152
base.cn,CHN,156
base.cx,CXR,162
base.cc,CCK,166
base.co,COL,170
base.km,COM,174
base.cg,COG,178
base.cd,COD,180
base.ck,COK,184
base.cr,CRI,188
base.hr,HRV,191
base.cu,CUB,192
base.cw,CUW,531
base.cy,CYP,196
base.cz,CZE,203
base.dk,DNK,208
base.dj,DJI,262
base.dm,DMA,212
base.do,DOM,214
base.ec,ECU,218
base.eg,EGY,818
base.sv,SLV,222
base.gq,GNQ,226
base.er,ERI,232
base.ee,EST,233
base.et,ETH,231
base.fk,FLK,238
base.fo,FRO,234
base.fj,FJI,242
base.fi,FIN,246
base.fr,FRA,250
base.gf,GUF,254
base.tf,ATF,260
base.ga,GAB,266
base.gm,GMB,270
base.ge,GEO,268
base.de,DEU,276
base.gh,GHA,288
base.gi,GIB,292
base.gr,GRC,300
base.gl,GRL,304
base.gd,GRD,308
base.gp,GLP,312
base.gu,GUM,316
base.gt,GTM,320
base.gg,GGY,831
base.gn,GIN,324
base.gw,GNB,624
base.gy,GUY,328
base.ht,HTI,332
base.hm,HMD,334
base.va,VAT,336
base.hn,HND,340
base.hk,HKG,344
base.hu,HUN,348
base.is,ISL,352
base.in,IND,356
base.id,IDN,360
base.ir,IRN,364
base.iq,IRQ,368
base.ie,IRL,372
base.im,IMN,833
base.il,ISR,376
base.it,ITA,380
base.ci,CIV,384
base.jm,JAM,388
base.jp,JPN,392
base.je,JEY,832
base.jo,JOR,400
base.kz,KAZ,398
base.ke,KEN,404
base.ki,KIR,296
base.kw,KWT,414
base.kg,KGZ,417
base.la,LAO,418
base.lv,LVA,428
base.lb,LBN,422
base.ls,LSO,426
base.lr,LBR,430
base.ly,LBY,434
base.li,LIE,438
base.lt,LTU,440
base.lu,LUX,442
base.mo,MAC,446
base.mk,MKD,807
base.mg,MDG,450
base.mw,MWI,454
base.my,MYS,458
base.mv,MDV,462
base.ml,MLI,466
base.mt,MLT,470
base.mh,MHL,584
base.mq,MTQ,474
base.mr,MRT,478
base.mu,MUS,480
base.yt,MYT,175
base.mx,MEX,484
base.fm,FSM,583
base.md,MDA,498
base.mc,MCO,492
base.mn,MNG,496
base.me,MNE,499
base.ms,MSR,500
base.ma,MAR,504
base.mz,MOZ,508
base.mm,MMR,104
base.na,NAM,516
base.nr,NRU,520
base.np,NPL,524
base.nl,NLD,528
base.nc,NCL,540
base.nz,NZL,554
base.ni,NIC,558
base.ne,NER,562
base.ng,NGA,566
base.nu,NIU,570
base.nf,NFK,574
base.kp,PRK,408
base.mp,MNP,580
base.no,NOR,578
base.om,OMN,512
base.pk,PAK,586
base.pw,PLW,585
base.ps,PSE,275
base.pa,PAN,591
base.pg,PNG,598
base.py,PRY,600
base.pe,PER,604
base.ph,PHL,608
base.pn,PCN,612
base.pl,POL,616
base.pf,PYF,258
base.pt,PRT,620
base.pr,PRI,630
base.qa,QAT,634
base.re,REU,638
base.ro,ROU,642
base.ru,RUS,643
base.rw,RWA,646
base.bl,BLM,652
base.sh,SHN,654
base.kn,KNA,659
base.lc,LCA,662
base.mf,MAF,663
base.pm,SPM,666
base.st,STP,678
base.vc,VCT,670
base.ws,WSM,882
base.sm,SMR,674
base.sa,SAU,682
base.sn,SEN,686
base.rs,SRB,688
base.sc,SYC,690
base.sl,SLE,694
base.sg,SGP,702
base.sx,SXM,534
base.sk,SVK,703
base.si,SVN,705
base.sb,SLB,90
base.so,SOM,706
base.za,ZAF,710
base.gs,SGS,239
base.kr,KOR,410
base.ss,SSD,728
base.es,ESP,724
base.lk,LKA,144
base.sd,SDN,729
base.sr,SUR,740
base.sj,SJM,744
base.sz,SWZ,748
base.se,SWE,752
base.ch,CHE,756
base.sy,SYR,760
base.tw,TWN,158
base.tj,TJK,762
base.tz,TZA,834
base.th,THA,764
base.tg,TGO,768
base.tk,TKL,772
base.to,TON,776
base.tt,TTO,780
base.tn,TUN,788
base.tr,TUR,792
base.tm,TKM,795
base.tc,TCA,796
base.tv,TUV,798
base.um,UMI,581
base.ug,UGA,800
base.ua,UKR,804
base.ae,ARE,784
base.uk,GBR,826
base.us,USA,840
base.uy,URY,858
base.uz,UZB,860
base.vu,VUT,548
base.ve,VEN,862
base.vn,VNM,704
base.vg,VGB,92
base.vi,VIR,850
base.wf,WLF,876
base.eh,ESH,732
base.ye,YEM,887
base.zm,ZMB,894
base.zw,ZWE,716
base.ax,ALA,248
